271236,33375,83429,205809,22658,
177217,52561,78425,114327,23023,
172702,171398,78958,109451,23494,
175535,54732,78841,111706,21702,
181648,53143,76622,118174,22683,
175460,55690,87807,113353,21591,
144203,53364,86030,157678,22262,
133269,59926,81556,121883,21596,
139741,56443,82067,106365,20238,
246298,67307,85337,113627,24049,
157505,55757,87099,118042,21698,
145643,164240,77078,119074,21793,
187846,52061,1165076,118642,22547,
124514,58607,74859,146432,21820,
116823,61843,155847,106114,21680,
103701,57875,82728,106507,24432,
141821,52612,157022,105628,21823,
126395,57812,87102,110280,20293,
119033,56422,153671,105485,24087,
117257,57912,99222,21559,23535,
117341,56129,153073,19365,21389,
119675,58744,87945,18629,24354,
127043,10773930,151840,17685,21514,
122993,66502,85537,18156,22875,
113870,54282,156106,18953,21527,
116450,59058,82209,17083,36489,
117575,57461,153142,17490,25974,
119306,58792,90139,17326,20782,
120284,55916,151722,18203,23120,
121740,64271,92533,17261,22418,
163612,53179,150310,17406,21530,
118845,51582,86164,17457,21496,
119090,57397,150671,20088,22421,
115471,48926,89408,17740,21703,
128408,38303,148110,17322,22910,
129663,29402,85454,21059,22300,
129620,29733,158358,17230,20043,
154038,28812,83889,17207,21711,
104550,29624,150333,17370,22100,
129523,29032,87144,17432,22714,
37802,33789,147940,19275,27612,
42968,30096,88486,17291,27026,
43344,29408,154650,17541,26234,
45135,29021,87304,18531,26027,
47157,29297,145875,17596,25068,
51151,28683,81911,17608,24366,
62012,29338,137869,18121,26012,
58657,29231,88711,18920,28322,
63685,30579,154361,17309,25602,
67567,28908,86381,17398,27748,
